measure,condition,time,value,baseline_subtracted,eid,expression,n_events,subject
pupil,stim,-0.15000000000000008,151.44032263689417,-4.310408768571222,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,-0.050000000000000086,145.87161115347791,-9.879120251987473,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,0.04999999999999989,141.37184018727845,-14.378891218186936,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,0.14999999999999986,136.4786848472605,-19.27204655820489,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,0.24999999999999983,131.043880553161,-24.7068508523044,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,0.3499999999999998,125.76522875304762,-29.985502652417765,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,0.4499999999999998,120.90635894849989,-34.8443724569655,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,0.5499999999999998,119.16724396145874,-36.58348744400665,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,0.6499999999999998,120.7459226382386,-35.00480876722679,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,0.7499999999999998,123.48140339790034,-32.26932800756505,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,0.8499999999999998,126.86182176298976,-28.888909642475625,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,0.9499999999999997,130.14430941876114,-25.606421986704248,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,1.0499999999999996,133.77391891225668,-21.976812493208712,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,1.1499999999999997,137.86542332899427,-17.88530807647112,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,1.2499999999999998,142.45521927110443,-13.295512134360962,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,1.3499999999999996,146.1258707424821,-9.62486066298328,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,1.4499999999999995,148.16634448323447,-7.5843869222309195,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,1.5499999999999996,151.08795740312897,-4.66277400233642,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,1.6499999999999997,153.9200163409687,-1.830715064496701,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,1.7499999999999996,155.81106854805358,0.060337142588196,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,1.8499999999999994,158.30306848365166,2.5523370781862695,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
pupil,stim,1.9499999999999995,163.09009123670424,7.339359831238852,5244890d-9353-4cfe-a18e-23481883e3a4,1,101,ZFM-03330
